Duty No.,Board No.,Sign ON,Stop ON,Time ON,Time OFF,Stop OFF,Sign OFF,Paid Time,Spread Time,Service
0155,"S110
S119","12:29
14:42","aa
bb","12:38
14:49","13:54
19:44","bb
ST","14:01
19:49",06:50,07:20,"192
192"
0155,"S110
S119","12:29
14:42","aa
bb","12:38
14:49","13:54
19:44","bb
ST","14:01
19:49",06:50,07:20,314
0156,"S108
S242","12:09
17:36","aa
StinR","12:18
17:40","16:45
19:43","aa
ST","16:52
19:48",07:09,07:39,"192
11"
0157,"S233
S111","11:49
14:50","StinP
aa","11:55
14:57","13:55
19:47","StinP
STDEP PK","13:59
19:52",07:33,08:03,"374
192"
0158,"S201
S113","09:34
13:01","StinB
aa","09:40
13:08","12:20
17:55","StinB
aa","12:24
18:07",08:03,08:33,"23
192"
0159,"S229
S107","09:44
13:17","StinK
bb","09:50
13:24","12:30
18:07","StinK
bb","12:34
18:19",08:05,08:35,"384
192"
0160,"S132
S304","09:48
13:31","STDEP PK
StinM","09:52
13:35","12:46
18:23","STDEP PK
ST","12:47
18:28",08:10,08:40,"192
325"
0161,"S145
S206","10:51
16:48","StinL
StinD","10:57
16:52","15:57
19:27","StinL
ST","16:01
19:32",08:11,08:41,"330
25"
0162,"S136
S257","10:28
14:06","STDEP PK
StinP","10:32
14:10","13:26
19:06","STDEP PK
ST","13:27
19:11",08:13,08:43,"192
379"
0162,"S136
S257","10:28
14:06","STDEP PK
StinP","10:32
14:10","13:26
19:06","STDEP PK
ST","13:27
19:11",08:13,08:43,378
0163,"S150
S225","09:29
13:36","StinM
StinK","09:35
13:40","12:55
18:10","StinM
StinK","12:59
18:19",08:20,08:50,"325
383"
0164,"S240
S129","09:14
14:19","StinR
STDEP PK","09:20
14:21","13:00
17:53","StinR
aa","13:04
18:05",08:21,08:51,"11
192"
0165,"S805
S211","11:03
16:56","StinL
StinB","11:09
17:00","16:09
19:51","StinL
ST","16:13
19:56",08:23,08:53,"330
23"
0165,"S805
S211","11:03
16:56","StinL
StinB","11:09
17:00","16:09
19:51","StinL
ST","16:13
19:56",08:23,08:53,25
0166,"S804
S205","10:39
16:36","StinL
StinB","10:45
16:40","15:45
19:28","StinL
ST","15:49
19:33",08:24,08:54,"330
23"
0167,"S257
S152","11:04
14:51","StinP
StinH","11:10
14:55","14:10
19:54","StinP
ST","14:14
19:59",08:25,08:55,379
0167,"S257
S152","11:04
14:51","StinP
StinH","11:10
14:55","14:10
19:54","StinP
ST","14:14
19:59",08:25,08:55,"378
314"
0167,"S257
S152","11:04
14:51","StinP
StinH","11:10
14:55","14:10
19:54","StinP
ST","14:14
19:59",08:25,08:55,325
0168,"S228
S106","09:14
14:01","StinK
aa","09:20
14:08","13:20
17:58","StinK
bb","13:24
18:10",08:26,08:56,"383
192"
0169,"S105
S243","09:12
13:56","bb
StinR","09:21
14:00","13:04
18:00","bb
StinR","13:11
18:09",08:27,08:57,"192
11"
